level,type,Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,region,World,204887.7031,153959.0873,164684.9945,222236.6021,255893.7326,345142.7446,392778.6563,480628.4795,681509.2912,1078285.663,1356685.067,773130.5078,590311.3487,549628.7774,698479.5396,953219.648,1415251.721,1905472.61,1486234.905,1237833.919,1390942.265,1610398.179,1468753.125,1459042.78,1402522.5,2063638.275,2045423.56,1632638.518,1448276.175,1480626.045,963138.5424,1582309.757
2,region,Developed economies,171279.4722,116082.9802,112105.3013,145961.3116,153719.475,228407.0243,246473.0433,295542.0679,509573.0726,870309.9162,1133973.771,560142.495,424916.1099,355532.4736,440433.6473,630455.4961,1012877.683,1382376.739,901911.5037,766876.8786,761318.6732,933049.039,789264.4677,799972.5622,713961.7453,1322723.034,1384814.391,937683.0334,753320.32,764455.6643,319189.7899,745739.2035
3,region,Europe,102697.2824,81867.35315,77530.90366,82785.39965,90540.97957,141746.3675,138208.4791,162388.1606,293729.8218,531685.9001,710777.7035,350865.3601,296002.8356,274684.5221,239112.5525,505799.963,668114.7879,963750.552,437998.9554,542482.3632,482674.1072,583937.9496,463748.4937,443615.7905,364930.9681,763717.6901,794426.0548,513250.0247,398049.1819,404755.6861,80786.45423,219032.6012
4,region,European Union,65099.39227,63939.30301,59033.38516,63313.48216,73153.15478,110995.2516,100057.6504,111729.3368,211493.6044,418392.8397,564989.5288,298098.7563,262766.0238,226394.2581,154800.5917,296738.206,414018.7003,668105.4833,222043.5155,362291.7051,335881.3445,446511.8296,319273.847,323303.6003,288561.0265,623649.8872,342614.6133,274903.939,366346.9336,401677.1022,209509.2383,137541.2935
5,country,Austria,653,360,1485.517753,1125.106122,2075.823594,1825.090253,4323.513092,2668.974816,4571.855707,2974.499988,8501.013451,5689.434546,138.3464308,6195.021861,3183.64965,10784.46003,4754.757314,25484.26717,7226.097231,9268.299689,2575.463407,10615.64954,3988.877646,5721.210459,4583.147657,1488.357813,-8508.306429,14953.06209,5389.769142,3034.642394,-15043.96862,5822.518226
5,country,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,16250.52939,33476.142,43557.8899,34370.49197,58892.96875,93430.67292,-13857.25272,64440.44048,57583.32285,83366.34902,11670.39705,23898.0012,-3505.905172,28331.29923,59242.65569,-708.3065035,35713.27347,1751.978112,11913.11082,25576.76341
5,country,Belgium / Luxembourg,8046.73,9362.56,11285.8,10750,8513.58,10688.7,14063.9,11998.3,22690.5,119692.913,88738.714,88203.254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,country,Bulgaria,4,55.8999999,41.5,40,105.4,90.4,109,646.6614424,678.392895,922.6519159,1016.486088,808.4258753,922.2888334,2088.529334,3397.118077,3919.965925,7804.89399,12388.85878,9855.106749,3385.353473,1549.12886,2052.255145,1697.19155,1837.743542,461.5750298,2217.350622,1040.26088,1813.850191,1142.612472,1835.270194,3422.609903,1496.291729
5,country,Croatia,0,0,13,118.2651402,110.3327683,103.4753831,485.18139,579.5750298,943.6517714,1425.48395,989.6522576,1035.852923,984.9748247,1812.649685,1291.406434,1810.334278,3132.77216,4669.380269,5400.062987,2948.109302,1171.938282,1594.171208,1311.969049,919.2209694,2899.050964,83.64371475,272.5164431,539.189655,1203.428964,396.5063764,136.4784647,568.8459213
5,country,Cyprus,126.62,81.7999999,107.4,83.4,75.2,375.7570399,428.8983104,548.3628429,345.3450658,803.6206074,837.5861433,928.6437122,1038.595235,891.441882,8594.77819,11090.50679,16726.16082,23237.58928,12246.51994,65949.55845,33429.64592,36622.57995,63501.89646,22260.81147,46454.08978,23945.61633,10928.2626,9437.62351,-413.4791888,34362.23377,4668.788201,463.0704111
5,country,Czechia,72,523,1003,653.4672484,868.3103411,2561.831451,1428.437754,1301.371678,3716.358128,6329.666293,4985.209231,5641.740699,8482.047131,2102.736715,4974.497856,11653.24701,5462.625467,10443.81754,6451.002923,2926.814824,6140.583193,2317.553784,7984.108594,3639.12943,5492.003461,465.1049342,9814.76887,9521.682018,11010.36396,10108.40697,9411.476213,5806.155606
5,country,Denmark,1132.15,1552.52,1017.39,1712.77,5006.18,4176.803746,758.7946891,2801.137413,7730.385639,16756.87763,33823.48939,11522.53683,6637.3559,2610.938314,-10715.96679,7533.546443,9530.535853,6638.497529,-742.2692242,1045.291529,-8977.400393,11939.23047,776.2587009,907.6199498,4682.30779,3616.130418,235.3039045,3748.81302,1715.226208,7072.70033,3210.105788,5540.519562
5,country,Estonia,0,0,81.89998767,161.1295933,214.3515626,193.3239157,147.2909262,267.7468776,578.370361,302.7826814,391.2474664,539.2891338,288.7280599,927.999377,957.1175801,2799.174252,1334.410098,2311.211571,1829.684696,1839.441378,1508.541875,1004.599954,1564.940755,771.0631516,684.5455874,35.51425718,1059.409595,1950.79183,1517.440045,3184.015936,3395.479343,989.1893083
5,country,Finland,644.6694172,-207.7861406,397.7869999,973.907779,1648.519344,1021.20023,1087.64318,2093.281606,12236.38857,4610.271173,8834.047356,3731.529481,8046.021364,3318.958415,2826.519653,4750.161667,7651.707791,12451.03594,-1143.999707,717.6106457,7358.832917,2549.850908,4153.957245,-106.0003984,18571.06798,2109.175635,8581.833477,2863.727251,-2171.777055,13456.08748,-1426.603587,9393.325086
5,country,France,16506.19332,16166.08715,18699.12261,16620.00232,15680.25694,23562.49673,21745.72761,23381.63966,31238.05338,46544.58054,27495.01566,15946.77274,21514.45673,7855.00895,-2573.579681,33228.72581,25325.74036,63499.56613,37593.42586,30733.48911,13890.09397,31641.9056,16062.05367,34279.83266,2672.876209,45364.68731,23077.21768,24832.52562,41832.98456,28363.01434,4869.762664,14192.88605
5,country,Germany,2962.363761,4727.24972,-2089.399033,368.2348244,7134.509086,12024.48487,6572.645653,12244.63398,24593.23623,56075.69354,198279.3394,26401.9964,53522.33118,32376.76545,-10192.1787,47449.79605,55654.56049,80212.48142,8127.028234,23805.5965,65642.98817,67513.66432,28181.12436,12776.7873,-3204.086458,30540.88206,15633.14737,48641.41842,72097.99686,52665.20426,64589.26609,31266.80733
5,country,Greece,1005,1135,1144,977,981,1053,1058,984,71.2,561.8999999,1108.162889,1589.337008,39.55578561,1275.23323,2101.655771,623.2900561,5354.887028,2111.305462,4498.626726,2436.364596,329.9141109,1143.135527,1739.702477,2818.248224,2686.834876,1268.160975,2765.153451,3484.812643,3973.265176,5019.206771,3212.506019,5731.520395
5,country,Hungary,553.8089999,1470.419,1477.004,2442.954,1143.371,5103.486605,3299.576146,4167.317669,3334.861149,3311.936107,2764.061819,3936.045586,2993.565399,2137.401419,4265.732493,7708.959225,6817.544536,3950.835121,6410.020231,2172.128787,2352.823553,6536.940942,14606.38452,3584.740723,7967.549949,-14537.42524,-5438.548392,3514.894612,6460.331074,4327.760194,6800.414994,5458.819205
5,country,Ireland,621.9109999,1361.668,1458.175,1077.89,856.979,1442.925,2617.483,2028.797815,8862.216911,18210.64171,25779.43615,9650.92035,29323.79653,22781.29282,-10607.6127,-31689.3001,-5542.306819,24707.17373,-16452.92416,25715.32959,42804.07128,23544.70324,48882.55595,50608.93818,48248.37591,217868.6342,39413.5618,52834.92053,-12017.40256,149433.0979,80870.94777,15702.06294
5,country,Italy,6344.876,2481.577,3209.808,3746.619,2235.95,4816.515,3535.094,4961.472,4280.245,6911.159598,13374.7927,14870.56044,17054.88118,19424.38326,20125.86094,23291.29981,42580.92358,43849.3481,-10835.31695,20076.60004,9178.260898,34323.80396,92.51002834,24279.30141,23253.88296,19635.12371,28468.51741,24047.08261,37681.92619,18145.56755,-23621.76844,8487.345859
5,country,Latvia,0,0,31.5,44.11601373,212.6324252,178.2942208,382.3640488,522.3345158,355.8295314,346.4549436,328.3397826,105.1802668,209.8724766,279.8989655,607.1781118,706.3622345,1663.444736,2323.996288,1264.144725,-22.22706896,419.8425259,1467.981734,1111.405202,901.7863072,896.7358814,738.9326528,254.5881207,710.5658544,963.6596392,901.1772397,1013.128408,5324.697751
5,country,Lithuania,0,0,10,31.2403604,31.339325,72.5575,152.43,354.4925,925.5,486.4575,378.8725,445.8125,724.9711718,180.4094914,844.4245777,1134.594339,2023.355968,2289.437451,1793.957593,-448.0977102,1019.541882,1798.972691,802.087643,573.8893685,-133.3944442,1055.053811,302.6056541,1020.786028,976.6383395,3021.641687,3492.34614,2053.095587
5,country,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,4243.174365,4291.105683,5179.643439,4644.769483,32219.53464,-29679.42581,7117.112828,27255.15425,39128.52876,8843.156717,2824.125588,23299.02384,20060.31379,45432.15356,17580.97009,-27369.77666,-26044.79128,12801.1947,102268.8594,-9053.878561
5,country,Malta,45.7939999,76.983,39.542,69.48408115,155.8288634,129.287173,293.0094103,82.00722343,277.2486228,856.6267538,581.5570296,235.2321149,-418.6769121,959.7847141,12608.15841,25083.20897,17691.38647,39620.09614,12688.79599,2906.948043,5409.466323,21875.92885,14183.92805,12007.75563,11204.96858,5069.237768,4248.432623,3407.289796,4023.616747,3778.105345,3944.048836,4004.599075
5,country,Netherlands,11063.315,6074.612329,6392.101324,6359.115239,7031.611503,11723.69591,16186.76489,11181.06879,37277.25342,41203.16164,63854.98434,51927.49953,25038.25702,32899.86615,12452.36632,39047.15714,13977.70282,114161.1852,-6776.430952,38751.92229,-7184.472449,24155.80624,25013.04134,51119.46344,45033.94311,163397.007,55124.37465,13925.3949,87633.34091,-14141.08011,-105394.4135,-81055.60954
5,country,Poland,88,359,678,1715,1875.209041,3658.1745,4498.720374,4910.209222,6398.400184,7270.784022,9445.314963,5579.255161,4030.107255,3982.305977,12140.25032,8203.217716,14577.49558,19836.21948,12283.03901,10039.32449,12796.27013,15925.13965,12423.52313,3625.459562,14268.73649,15270.83168,15690.14756,9172.340071,15996.26992,13510.16767,13831.40218,24815.94943
5,country,Portugal,2363.322636,2186.582866,1637.534286,1440.670702,1250.510601,674.9228273,1312.517062,2340.007915,3026.885982,1156.734251,6559.806523,6195.650151,1630.034351,7983.640583,1787.703712,2234.481172,10767.79892,2803.5443,3549.656865,1611.420824,2912.025111,7428.154388,8228.715627,8447.068198,4897.466555,7630.06768,5065.822944,7752.149208,7115.339194,12360.56941,7756.341654,8019.72957
5,country,Romania,0.01,40,77,94,341,419,263,1215,2031,1027.032037,1056.753271,1157.931473,1140.652205,2196.303979,6435.591316,6152.300812,10858.11789,9732.809856,13491.53628,4665.448621,2997.172354,2362.92234,3198.547078,3602.364035,3215.681586,3840.47487,5000.387417,5419.471086,6218.911348,5791.043306,3432.300864,8610.350872
5,country,Slovakia,93,81,100,179.1378503,255.1740064,2587.149232,369.7432936,230.6031021,926.7614286,626.7974391,2720.378662,2274.839599,5864.878829,2975.667977,4028.991824,3109.637865,5803.086279,4017.245202,4868.023584,-6.07910336,1769.760743,3491.285944,2981.688154,-604.2477655,-512.8211151,106.1399146,805.9007804,4016.770767,1675.084894,2510.637702,-1930.503047,58.70887789
5,country,Slovenia,4.2999999,64.9,111,112.5999999,116.9298479,153.5604039,175.479362,334.428438,217.8277983,105.6862843,137.3576561,358.5319147,1569.674839,271.1803385,675.45647,561.6475153,706.2765557,757.2915726,1218.409932,-475.8343139,105.3698785,1087.41581,339.3306384,-151.2226653,1051.238646,1675.07736,1245.941686,897.7449994,1384.172995,1462.913915,205.6758914,1516.906853
5,country,Spain,10797.15159,9633.026352,10665.74069,8571.494817,8883.492432,7910.827709,9325.034251,8918.367254,14266.89455,18743.38475,39575.10319,28408.1288,39222.56929,25819.30265,24760.68367,25020.18355,30802.38001,64264.41411,76992.51327,10406.59838,39872.50959,28379.20637,25696.45275,28355.13646,22600.40121,8558.748474,31568.92697,41966.31308,57462.92981,17416.78944,5677.950808,9777.242653
5,country,Sweden,1971.176541,6353.203736,-41.03845751,3845.877075,6349.663101,14448.29188,5437.401953,10967.54505,19918.94207,61135.04139,23432.80682,10914.35507,12273.03497,5280.288884,12093.2549,11515.98602,27445.93908,28592.62854,36946.94361,10146.69799,97.12078496,12929.46528,16257.07378,3930.475578,4030.439643,8443.906464,19140.7605,12508.80234,3805.801725,9108.24923,18803.49508,26973.37991
4,region,Other Europe,37597.89012,17928.05014,18497.51849,19471.91749,17387.8248,30751.11592,38150.82866,50658.82373,82236.21739,113293.0604,145788.1748,52766.6038,33236.81181,48290.26401,84311.96072,209061.757,254096.0876,295645.0688,215955.4398,180190.6581,146792.7627,137426.12,144474.6466,120312.1902,76369.94162,140067.8029,451811.4415,238346.0858,31702.24839,3078.583934,-128722.784,81491.30768
5,country,Albania,0,0,20,68,52.9699999,70.0499999,90.09,47.5399999,45.01079681,41.19987532,144.2703151,206.427683,133.0563267,177.1038131,345.6718382,264.3386559,324.4219028,658.506675,974.3333211,995.929668,1050.708236,876.2683236,855.440232,1265.90079,1111.434379,945.7228448,1100.671891,1148.891224,1289.689054,1287.966989,1108.159167,1233.917686
5,country,Belarus,0,0,7,17.6,10.5,14.6999999,104.5,351.6,190.8449687,444,118.8,95.7999999,247.0999999,171.8,163.7999999,306.5999999,357.1,1807.3,2187.9,1876.5,1393.4,4002.4,1429.3,2229.6,1827.6,1667.9,1237.8,1278.5,1421,1293.1,1396.8,1232.943862
5,country,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,66.73637671,176.7801503,146.0755773,118.8670699,265.1736865,381.053072,511.1861652,351.1858243,554.6900312,1819.244227,1001.647693,249.9485044,406.0890881,496.5250828,394.8732435,276.3619701,550.199095,361.1401255,349.7591302,491.8880169,581.3830514,341.5518366,395.0159491,519.0731844
5,country,Iceland,22.08160758,18.27233233,-12.73765811,0.4437659756,-1.529786516,-9.259302198,83.36842105,149.5395907,152.6389443,68.54191522,171.2249049,173.5906537,87.13563026,332.0992322,725.9262847,3071.050797,3843.07495,6824.791195,919.6922269,78.77028098,245.1366961,1107.490902,1025.126844,396.8108462,447.0941577,708.5348242,-427.2439183,-41.39851929,-381.4675241,-224.9060072,-933.0187762,173.5191575
5,country,"Moldova, Republic of",0,0,17,14,12.02,66.9099999,23.7399999,78.7399999,75.51,37.89,127.54,103.44,84.0499999,73.75,146.1999999,190.6999999,258.47,541.2599999,711.46,274.14,292.96,359.67,241.44,233.21,341.69,237.3,83.23,151.59,296.61,508.2,149.75,263.5
5,country,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,71.89007727,49.4314936,65.37656839,500.611849,622.0016282,934.4422272,960.4233347,1527.259416,760.4407684,558.0526998,619.7529468,447.4745998,497.6552017,699.365361,226.4096434,558.5657639,489.8148207,416.4472564,528.8739018,663.8362163
5,country,North Macedonia,0,0,0,0,24,9.49,11.21,58.058346,150.4820856,88.4061564,215.0566,447.132,0,113.3263509,323.6693921,96.02173792,432.5771725,692.5098337,585.7692165,201.3953413,212.5277875,478.7696892,142.9041709,334.9558402,272.5333121,240.4515698,374.6042815,205.2620281,725.2026712,446.4021519,230.060656,605.5785458
5,country,Norway,1563.802969,302.3319667,-668.1148926,991.5239783,2776.447451,2409.410338,3211.102343,3981.536461,3934.871639,6789.95329,6408.77362,2505.658027,1192.417627,2450.347588,954.0368174,-2273.651533,8061.802527,2168.153444,8958.687943,19479.09858,14018.13649,11390.26623,14655.09239,1975.659574,5530.121381,-2514.951942,-3899.880952,-5849.000262,225.7608362,16714.77273,-1325.639484,-1628.055879
5,country,Russian Federation,0,0,1161,1210.782,689.5739999,2065.723,2579.321,4864.643,2761.36,3285.93,2651.06,2808.331,3425.021,7754.758,15283.751,14375.052,37441.574,54921.85,75855.697,27752.258,31667.969,36867.773,30187.664,53397.139,29151.662,11857.81,37175.76691,25953.53583,13227.64206,32075.62193,10409.87239,38239.67678
5,country,Serbia,0,0,0,0,0,0,0,740,113,112,51.78091026,177.4409178,490.6357348,1466.986594,958.4697622,1577.035766,4255.703638,4405.906892,3971.856301,2896.05718,1686.103748,4932.251615,1298.570302,2053.097389,1998.795071,2347.559775,2352.016562,2878.291575,4090.505675,4269.812527,3468.526199,4562.507708
5,country,Serbia and Montenegro,0,0,125.6813081,96.1073501,62.5847823,44.9853536,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,country,Switzerland,5483.889545,2642.27784,411.0309909,-83.2419702,3366.991058,2222.466532,3078.454058,6635.798003,8940.757754,11718.59189,19854.57474,9389.136116,6864.257255,17305.4617,1845.838359,-266.9493566,44598.43361,33538.24238,16214.86619,29934.89716,29875.9404,26414.90267,29482.97401,1154.920703,9340.071712,84319.60069,150241.1681,111200.6185,-83154.74325,-105806.7942,-162703.5961,1016.436105
5,country,Ukraine,0,0,200,200,159,267,521,623,743,496,595,792,693,1424,1715,7808,5604,9891,10913,4816,6495,7207,8401,4499,410,-331,4055,3727,4732,6017,-36,6549
5,country,United Kingdom,30461.116,14846.168,17236.65875,16956.70237,10235.26729,23589.64,28448.04184,33128.36833,65062.00482,90033.76711,115304.0181,35948.78033,19683.07447,16590.14616,61219.74441,182927.9379,147372.4303,176838.6384,92158.33343,89709.13776,58200.28153,42200.40023,55446.12011,51675.89032,24690.24073,39185.7001,258698.6755,96353.8315,87837.47725,45454.3714,18193.58974,27561.49725
5,country,Yugoslavia (former),67,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,region,North America,56004.276,25679.957,23945.744,55394.586,53299.115,68026.772,94088.764,114923.1838,197237.446,308120.0652,380802.0522,187124.4211,96612.45587,60628.24546,135380.9646,130464.5561,297429.9102,332772.594,367918.5191,166303.6763,226449.4426,269531.2979,242145.0061,270761.2412,260738.2048,511460.9699,495474.8742,331722.8459,240895.9247,275257.4958,174003.581,427051.7098
4,country,Canada,7582.276,2880.957,4723.744,4731.586,8204.115,9254.772,9633.764,11525.1838,22803.446,24744.06521,66795.05222,27663.42106,22155.45587,7482.245459,-445.0354337,25691.55608,60293.91022,116820.594,61552.51912,22699.67632,28400.44265,39669.29788,43111.00614,69368.24121,59005.2048,43835.96994,36055.87423,22766.84593,37661.92475,50149.49581,23175.58101,59675.70982
4,country,United States,48422,22799,19222,50663,45095,58772,84455,103398,174434,283376,314007,159461,74457,53146,135826,104773,237136,215952,306366,143604,198049,229862,199034,201393,201733,467625,459419,308956,203234,225108,150828,367376
3,region,Other developed economies,12577.91384,8535.670022,10628.65368,7781.325981,9879.380424,18633.88479,14175.80028,18230.7235,18605.8048,30503.95082,42394.01488,22152.71378,32300.81838,20219.70606,65940.13026,-5809.023004,47332.98499,85853.59338,95994.02917,58090.83911,52195.12338,79579.79157,83370.96784,85595.53049,88292.57245,47544.37435,94913.46148,92710.1627,114375.2133,84442.48236,64399.75467,99654.89246
4,country,Australia,7904.391676,4055.275129,5479.381633,4054.917854,4762.566258,11678.76178,5629.724696,7762.472354,5528.856725,1847.15636,14190.96375,7825.430321,14246.20768,6338.891375,39611.69333,-28294.65356,26313.84745,41479.5786,46905.66861,31893.08917,36795.51625,58931.59409,59574.38437,56765.52363,58506.70657,29580.2688,48401.36484,46114.2279,68322.01146,39406.13428,16726.48193,25085.18476
4,country,Bermuda,0,0,0,0,0,0,0,34.7,102.7,60.5,66.9,41.7999999,5.4,12.9,831.6,43.7,261,610.6,78.17,-70.384,230.73,-257.87,47.61,54.9,-3.425,-143.094,82,-288.109271,95.4163715,4.9853965,111.935757,0.7925609
4,country,Israel,137.12,49.56,303.8679999,471.85,475.199,1576.598,1616.775,1990.376,1966.699,4187.194,6957.443,1771.719,1582.835,3322.393,2947.35,4818.272,14395.879,8798.282,10274.699,4607.028,6984.909,8653.401,9017.54,11842.324,6049.105,11336.502,11988.255,16892.825,21514.605,17362.681,24283.378,29615.079
4,country,Japan,1806.039008,1284.26882,2755.603983,210.4354395,888.3844709,41.46307235,228.0835455,3224.61836,3192.576296,12741.33635,8322.739294,6241.595833,9239.348263,6323.977642,7815.417818,2775.758043,-6505.843558,22548.85099,24425.12215,11938.34141,-1251.810494,-1758.334482,1731.531949,2303.718219,12029.78823,2975.527938,19358.83601,9355.587239,9962.720845,13755.37321,10702.56677,24652.03117
4,country,"Korea, Republic of",1045.6,1455.2,1001.6,832.2999999,1136.6,2487.1,2782.6,3301.1,5989.2,10726.3,11509.4,6522.3,5475.1,7010,13294.4,13643.2,9161.9,8826.9,11187.5,9021.9,9497.4,9773,9495.9,12766.6,9273.6,4104.1,12104.3,17912.9,12182.6,9634.3,8764.9,16819.7
